SS,Mã hàng,MSKH,Đối tượng gửi dữ liệu,Nguồn dữ liệu,Yêu cầu đặc biệt khi gửi dữ liệu,Part Number,Gui_DL,Nơi nhận dữ liệu,DUNG LƯỢNG 1 LẦN GỬI,Status
RS4F5WA76095A,76095A,895854C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
RS4F5WA76293A,76293A,884262K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
RS4F5WA76293B,76293B,884262K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
RS4F5WB75530C,75530C,890608C,MONTH,MAP,,-,DD,HELLA,8.0,Không có dữ liệu
RS4F5WB75530E,75530E,890608C,MONTH,MAP,,-,DD,HELLA,8.0,Không có dữ liệu
RS4F5WB75530G,75530G,890608C,MONTH,MAP,,-,DD,HELLA,8.0,Đã xác nhận
RS4G5WB74643C,74643C,508119U,MONTH,MAP,,-,DD,UPO,,Đã xác nhận
RS4G5WB74643C,74643C,885772C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Đã xác nhận
RS4G5WB76309A,76309A,884601K,MONTH,MAP,,-,TB,KRO,8.0,
RS4G5WB76332A,76332A,884296K,MONTH,MAP,,-,DD,KRO,8.0,
RS557VB76528A,76528A,883504C,MONTH,MAP,,-,TB,MCH-S (SHO),8.0,
RS645VA45315B,45315B,957258S,MONTH,MAP,,QK2-0234,TB,SPO & CANON THAI,,
RS645VA45315B,45315B,957217S,MONTH,MAP,,QK2-0234,TB,CANON THAI,3.5,
RS645VA45315B,45315B,951103E,MONTH,MAP,,QK2-0234,TB,CANON THAI,3.5,
RS645VA45315B,45315B,951087E,MONTH,MAP,,QK2-0234,TB,CANON THAI,3.5,
RS645VA45841C,45841C,957258S,MONTH,MAP,,QK2-1295,TB,SPO & CANON THAI,,
RS645VA45841C,45841C,957217S,MONTH,MAP,,QK2-1295,TB,CANON THAI,3.5,
RS645VA45841C,45841C,951103E,MONTH,MAP,,QK2-1295,TB,CANON THAI,3.5,
RS645VA45924B,45924B,954388Q,MONTH,MAP,,-,TB,THO (KD),8.0,
RS645VA45968B,45968B,957217S,MONTH,MAP,,QK2-1487,TB,CANON THAI,3.5,
RS645VA45968B,45968B,951103E,MONTH,MAP,,QK2-1487,TB,CANON THAI,3.5,
RS645VA45976B,45976B,957217S,MONTH,MAP,,QK2-1486,TB,CANON THAI,3.5,
RS645VA46690A,46690A,957217S,MONTH,MAP,,QK2-2201,TB,CANON THAI,3.5,
RS645VA46690A,46690A,951103E,MONTH,MAP,,QK2-2201,TB,CANON THAI,3.5,
RS645VA46903B,46903B,957217S,MONTH,MAP,,QK2-2912,TB,CANON THAI,3.5,
RS645VA46903B,46903B,951103E,MONTH,MAP,,QK2-2912,TB,CANON THAI,3.5,
RS645VA46905A,46905A,957217S,MONTH,MAP,,QK2-2659,TB,CANON THAI,3.5,
RS645VA46905A,46905A,957258S,MONTH,MAP,,QK2-2659,TB,SPO & CANON THAI,,
RS645VA46905A,46905A,951087E,MONTH,MAP,,QK2-2659,TB,CANON THAI,3.5,
RS645VA48005B,48005B,951103E,MONTH,MAP,,FK5-0160,TB,CANON THAI,3.5,
RS645VA48006B,48006B,951103E,MONTH,MAP,,FK5-0161,TB,CANON THAI,3.5,
RS656WA72733H,72733H,883504C,MONTH,MAP,,-,TB,MCH-S (SHO),8.0,
RS656WA74984A,74984A,883504C,MONTH,KJS,,-,TB,MCH-S (SHO),8.0,
RS656WA74984B,74984B,883504C,MONTH,KJS,,-,TB,MCH-S (SHO),8.0,
RS656WA74984C,74984C,883504C,MONTH,KJS,,-,TB,MCH-S (SHO),8.0,
RS656WA74984F,74984F,883504C,MONTH,KJS,,-,TB,MCH-S (SHO),8.0,
